15;3000;24;10;0;1;44.74;-0.58;7;2008;Plein Sud;SunMaster QS 3500 Ma;MSTD200;1177
15;2400;18;30;2428;1;45.49;6.04;10;2005;Janex;IG 15;160 Profiline;1179
6;1950;16;25;2010;1;48.59;6.52;8;2007;VIVRECO;Sunny Boy 2100TL;S 325-PP;1180
14;2940;23;20;3279;1;45.91;3.05;2;2009;Rolhion Energie;Sunny Boy 3000;P220 / 6+ (210W);1181
20;2600;20;30;3212;1;46.09;-0.90;1;2008;Forclum (Ets RIVET, St Jean d'Y);Sunny Boy 2500;KC 130TM/GT;1183
12;2100;16;35;2964;1;43.67;3.72;1;2010;EDF ENR;Sunny Boy 2100TL;STP 175S-24/Ac;1184
21;2310;20;20;0;1;46.35;-1.45;1;2008;Energy Systeme;PWI-5-40-I;PW6 / 110W Compact;1185
6;1920;16;45;0;1;47.65;7.15;2;2008;ECO LOGIQUE;Sunny Boy 1700;S 320-PM-2;1187
12;2040;16;30;2482;1;44.89;-0.66;4;2008;SUNNCO;Sunny Boy 2100TL;TSM-170D;1188
14;2940;18;40;2828;1;50.69;2.85;3;2008;ENR SYSTEMS;SOLARMAX 3000C;HIP-210 NKHE5;1189
14;2268;18;45;2774;1;43.00;-0.09;1;2008;Jareno;IG 30;ND-162E1;1190
18;2970;24;20;0;1;46.77;-1.43;7;2008;Belle Vie Domotique (BVD);SunMaster QS 3500;TSM-165D;1191
12;1020;8;30;1131;1;45.25;5.59;7;2003;Pi energies;Sunny Boy 1100 (;BP585L Saturn;1192
14;2450;18;15;3287;1;43.54;5.29;3;2008;NTD Provence;WR 2300;C 175 M;1193
34;3400;38;15;4702;1;43.52;6.87;2;2007;"Non renseign&eacute;";Sunny Boy 4200 TL;ASE-100-GT-FT/100;1194
18;3150;24;45;3339;1;48.48;-2.73;6;2008;Facilasol;Sunny Boy 2800;S 175-SP-3;1195
12;2520;16;20;2735;1;45.27;4.49;5;2008;FL Energie;IG 20;HIP-210 NKHE1;1196
14;2968;24;20;3422;1;43.55;2.18;4;2008;CMEE Genoudet;Sunny Boy 3000;M220-60 GET AK (212);1197
14;2940;21;25;0;1;47.16;-0.95;9;2007;SAPOUDRAY;Energrid EG 2500;TE 2000/210 Poly;1198
18;2412;20;35;0;1;47.24;5.93;4;2009;"ascn &eacute;nergie fontain et blanc jm";Sunny Boy 2500;MegaSlate 134;1199
12;1980;15;20;2070;1;46.94;-0.83;6;2008;AUGER SARL;IG 20;BP 3165S;1200
16;2560;21;15;0;1;43.53;2.10;5;2009;EDF ENR;Sunny Boy 2500;SF 160 P5-24 (160Wc);1202
29;5800;38;45;5907;1;50.31;3.52;9;2007;ENR SYSTEMS;Sunny Boy 5000 TL;KC 200GHT-2;1203
10;500;0;40;0;1;48.69;6.15;8;2009;"Non renseign&eacute;";Sunny Boy 5000;S 68 GT;1204
24;2640;22;30;2982;1;46.03;4.10;7;2008;Moulin Jean michel;PWI-6-40-I;PW 1000 / 110W;1206
48;9600;72;20;10838;3;45.77;4.02;8;2010;BS AUTOMATION;Aurora PVI-3.0;PCA 200;1207
15;2550;20;25;0;1;45.76;4.92;7;2008;VSA Vent Solaire Application;IG 20;NE-170 U1 (170 Wc);1208
15;3000;21;35;3019;1;50.39;3.11;12;2007;ENR SYSTEMS;SOLARMAX 3000C;KC 200GT;1209
18;3060;24;15;4314;1;43.52;6.86;5;2007;AMISOLAIRE;Sunny Boy 3300;ASE-165-GT-FT/MC/170;1210
24;2976;49;20;0;2;44.81;4.93;2;2008;Nicollet SARL;Sunny Boy 1700;Biosol XXL inDach;1211
18;2970;24;35;3582;1;45.76;5.01;6;2008;SADEJA SOLAIRE;GridFit 2500;A 165 P;1212
24;3120;22;30;3656;1;45.10;5.72;6;2007;EPB Gacon Jacky;UNO-3.0-TL-OUTD;KC 130 GHT-2;1213
26;6500;40;60;6549;2;49.04;2.12;9;2017;"Moi m&amp;ecirc;me";ES1000;alfasolar 250 P;1214
8;1400;10;25;1379;1;45.73;4.88;2;2008;ENERCOS technologies;Sunny Boy 1100E;S 175-SP-3;1215
24;7200;66;30;10462;3;43.86;4.68;2;2008;BSP;Sinvert Solar 100;S 300-PM-4;1216
18;2898;24;20;3522;1;43.45;0.93;2;2008;Ne merite plus d'etre cite;Sunny Boy 3300 TL;S 861 TI;1219
48;6000;45;20;7032;2;43.91;1.96;5;2007;hairionelec et DiagEnergies;Sunny Boy 3000TL;PW6-BIPV1 / 125W;1224
14;2660;19;35;2850;1;48.77;2.07;6;2008;ENRGERIC;Sunny Boy 2500;Biosol 190 P;1225
18;1440;24;60;1425;1;48.60;-2.14;9;1999;"Qu&eacute;n&eacute;a";IG 20;SQ80;1227
22;2860;22;20;0;1;43.19;6.07;11;2008;S comme solaire;IG 30;KC 130 GHT-2;1228
16;2800;21;20;3252;1;43.56;2.20;5;2008;Cervin Env;SGI-2500;PV-MF175 TD4;1229
20;0;25;35;0;1;44.11;4.90;8;2008;CLEMENT SOLAIRE;Sunny Boy 3000;Pas_dans_la_liste_panneaux;1230
12;1980;15;25;0;1;45.26;5.86;4;2008;Pi energies;IG 20;BP 3165S;1231
14;2800;21;20;3131;1;45.80;4.71;6;2008;Solaris-enr;Energrid EG 2500;TE 2000/200 Poly;1232
10;2720;20;45;2898;1;49.70;0.37;8;2008;Solariis Normandie;Sunny Boy 2500;SPR 10/20 280 (272Wc);1233
18;2970;22;15;3720;1;43.24;2.69;4;2008;Helio Therma;SunMaster QS 3500;CS5-165;1234
20;2600;20;30;2922;1;46.39;6.52;8;2007;Solar Savoies;SOLARMAX 3000C;SF 130/2-130;1235
12;2400;24;20;2670;1;47.19;-1.43;3;2008;ENR Atlantique;SOLARMAX 3000C;KC 200GHT-2;1236
14;2800;23;15;0;1;44.96;-0.37;8;2008;Plein Sud;SunMaster QS 3500 Ma;SONY 200 WP;1237
24;4200;40;20;4329;1;42.87;2.18;8;2007;Helio Therma;SGI-2500;S 175-SP-3;1238
14;2940;18;30;3009;1;49.24;6.20;2;2009;ECOSOL Energie;Sunny Boy 3300 TL;HIP-210 NKHE1;1239
24;3888;32;20;5261;1;43.70;3.79;5;2008;"Sol&eacute;a";Sunny Boy 3300 TL;ND-162 E1F;1240
18;1260;10;30;0;1;45.18;5.70;5;1998;Energies Economies Solutions;Sunny Boy 1100E;BP370;1241
10;2000;15;35;2551;1;45.88;5.94;6;2008;Evasol;Connectis EI 1900;TE 2000/200 Poly;1242
529;58190;435;20;64388;10;45.61;4.70;11;2008;Photowatt;PWI-5-60-I;PW6 / 110W Compact;1243
14;2450;18;45;2552;1;48.50;-2.78;6;2008;Facilasol;Sunny Boy 2100TL;SF 160M5-24 (175 wc);1244
12;1944;16;30;0;1;44.05;2.19;3;2008;"Hairion Electricit&eacute;";IG 30;ND-162 U1;1245
30;4980;39;40;0;2;45.09;1.64;4;2008;DJSOLAR/Futurenergie;IG 30;ND-170 E1 F (166Wc);1246
16;2080;16;40;2103;1;49.29;2.33;5;2007;Solargie;SOLARMAX 2000C;KC 130TM/GT;1247
14;2940;23;15;4058;1;43.96;4.76;6;2008;Grandes Terres Energies GTE;X1-3.0T;HT210 P;1248
14;2800;24;45;2838;2;48.76;1.90;2;2008;ENR Diffusion;IG 20;KC 200GHT-2;1249
12;2280;18;30;2704;1;44.77;-0.70;3;2008;Plein Sud;SunMaster QS 3500;SONY 190 WP;1250
12;2100;20;35;0;1;42.43;9.29;12;2008;RM Energie;IG 15;NT-R5E3E;1252
18;3060;23;35;3560;1;45.67;3.10;12;2007;Rolhion Energie;WR 3300;P170M;1254
20;2600;19;40;0;1;47.35;-0.55;5;2008;CHARLES et Cie (ANGE;IG 30;KC 130 GHT-2;1255
12;2040;15;10;0;1;43.63;3.91;2;2009;SUNNCO;Sunny Boy 2100TL;CS5A-170M;1257
15;2430;19;25;2804;1;45.66;4.77;6;2007;VSA vent solaire app;IG 20;ND-162E1;1258
18;2916;23;35;3458;1;45.41;2.33;2;2008;Airelec/Futur Energy;IG 30;ND-162 E1F;1259
24;3120;21;35;3643;1;47.21;-0.72;11;2007;AB CONFORT;IG 30;KC 130 GHT-2;1260
17;2975;23;25;3265;1;45.29;5.89;2;2008;ENERCOS technologies;Sunny Boy 2500;S 175-SP-4;1261
15;3000;22;30;3984;1;43.64;6.97;2;2010;France Panneau Solaire;Sunny Boy 3000;MPE 200;1262
24;3120;21;45;3566;1;47.46;-0.73;2;2007;"Qu&eacute;n&eacute;a";IG 30;KC 130TM/GT;1263
46;7590;58;25;8129;2;48.88;2.39;10;2007;Novae;IG 30;BP 3165S;1264
18;2970;23;15;3860;1;43.71;4.09;10;2007;FAST Montpellier;IG 30;BP 3165S;1265
21;2520;19;30;2792;1;46.03;4.07;8;2009;Odislor Energy;PWI-6-40-I;PW6 / 123W Compact;1266
16;2800;21;25;4102;1;43.69;5.46;5;2008;SCIC Tout Naturellement Solidaires;Sunny Boy 2800;ASE-160-GT-FT/175W;1267
18;2970;21;30;0;1;43.44;3.68;3;2008;cap solaire;IG 30;BP 3165S;1268
6;1860;22;45;0;1;47.66;-2.44;4;2008;France Panneau Solaire;Sunny Boy 1700;S 310-PM-1;1269
15;3000;22;40;3235;1;47.29;0.70;6;2008;Forbat;Sunny Boy 2800;KC 200GHT-2;1272
16;2960;22;35;0;1;46.90;4.20;6;2008;Lequin;PS 3000-HV;SLP 185 M6-JTO;1273
14;2940;20;30;3412;1;43.23;3.10;8;2009;SEILLES (S.E.R.);Sunny Boy 2500;HIP-210 NKHE5;1274
80;14400;116;15;15574;3;48.12;-0.21;8;2008;SOLAR DIFFUSION;SOLARMAX 6000C;Biosol S-180 P inDac;1275
36;3060;0;30;0;3;45.77;4.87;1;2005;Enersun;Sunny Boy 1700E;BP585F Saturn;1276
10;1800;0;25;0;1;45.06;4.01;9;2008;Solaire Direct;PS 2000-HV;SLP 180 M5-JDE;1277
